Index No,Organization,Year,Performance Rating
RZROZP,UNDP,2018,
RZROKF,UNICEF,2017,Outstanding Achievement
RZROKF,UNICEF,2018,Solid Achievement
RZRXDR,UNICEF,2017,Solid Achievement
RZRXDR,UNICEF,2018,Solid Achievement
RZRXAA,UNDP,2017,Successful performance
RZRXAA,UNDP,2018,Successful performance
RZAZOP,UNICEF,2017,Solid Achievement
RZAZOP,UNICEF,2018,Solid Achievement
RZAPFP,UNICEF,2017,Outstanding Achievement
RZAPXO,UNICEF,2016,Solid Achievement
RZAPXO,UNICEF,2018,Low Achievement
RZARD,UNDP,2017,Successful PLUS performance
RZARD,UNDP,2018,Successful PLUS performance
RZAADZ,UNICEF,2016,Solid Achievement
RZFSP,UNDP,2017,Successful performance
RZFSP,UNDP,2018,Successful performance
RZFPPA,UNICEF,2017,Outstanding Achievement
RZFDK,UNICEF,2016,Solid Achievement
RZFRDO,UNDP,2018,Successful PLUS performance
RZFRFZ,UNICEF,2018,Solid Achievement
RZFRFS,UNDP,2017,Successful performance
RZFASF,UNICEF,2016,Outstanding Achievement
RZFAKK,UNICEF,2016,Solid Achievement
RZKZZ,UNDP,2017,Successful PLUS performance
RZKZPO,UNICEF,2016,Outstanding Achievement
RZKSOA,UNICEF,2017,Solid Achievement
RZKSOA,UNICEF,2018,Solid Achievement
RZKRRK,UNICEF,2017,Solid Achievement
RZKFXA,UNICEF,2016,Solid Achievement
RZKKFS,UNICEF,2016,Outstanding Achievement
RZKKFD,UNICEF,2018,Outstanding Achievement
RZKKFO,UNICEF,2017,Solid Achievement
RZKORS,UNICEF,2017,Outstanding Achievement
RZOZPR,UNICEF,2016,Solid Achievement
RZOZPA,UNDP,2017,Successful performance
ROXROA,UNICEF,2018,Solid Achievement
ROXRXK,UNDP,2017,Successful performance
ROXRXK,UNDP,2018,Successful performance
ROXADP,UNICEF,2016,Solid Achievement
ROXAAD,UNICEF,2017,Solid Achievement
ROXFFP,UNICEF,2017,Outstanding Achievement
ROXFFP,UNICEF,2018,Solid Achievement
ROXFOA,UNDP,2017,
ROXFOA,UNDP,2018,Successful performance
ROXKXA,UNDP,2017,Successful performance
ROXOPX,UNICEF,2017,Solid Achievement
ROXXSD,UNDP,2017,Successful performance
ROXXSD,UNDP,2018,
ROXXXS,UNICEF,2016,Solid Achievement
RXZPZF,UNICEF,2018,Solid Achievement
RXZPZO,UNICEF,2017,Solid Achievement
RXZPZO,UNICEF,2018,Solid Achievement
RXZXSS,UNICEF,2016,Solid Achievement
RXZXSF,UNICEF,2017,Solid Achievement
RXZXSF,UNICEF,2018,Solid Achievement
RXSSF,UNICEF,2017,Outstanding Achievement
RXSSF,UNICEF,2018,Outstanding Achievement
RXSPFK,UNICEF,2017,Outstanding Achievement
RXSPFK,UNICEF,2018,Outstanding Achievement
RXSDAD,UNICEF,2017,Solid Achievement
RXSAOF,UNDP,2017,Successful performance
RXSAXD,UNICEF,2017,Outstanding Achievement
RXSAXD,UNICEF,2018,Outstanding Achievement
RXSFDO,UNICEF,2016,Solid Achievement
RXSXOS,UNDP,2018,Successful performance
RXPPRZ,UNICEF,2016,Solid Achievement
RXPPKX,UNICEF,2017,Outstanding Achievement
RXPPKX,UNICEF,2018,Outstanding Achievement
RXPDPR,UNICEF,2016,Outstanding Achievement
RXPDXD,UNDP,2018,Successful PLUS performance
RXPRRX,UNICEF,2016,Solid Achievement
RXPADA,UNICEF,2018,Solid Achievement
RXPORA,UNICEF,2016,Solid Achievement
RXPXAK,UNICEF,2018,Outstanding Achievement
RXDSAO,UNDP,2017,Successful performance
RXDPOA,UNICEF,2018,Solid Achievement
RXDRDD,UNDP,2017,
RXDRDD,UNDP,2018,Successful PLUS performance
RXDKZO,UNICEF,2018,Outstanding Achievement
RXDODZ,UNICEF,2016,Outstanding Achievement
RXDOFA,UNICEF,2017,Solid Achievement
RXDOKK,UNICEF,2017,Solid Achievement
RXDOKK,UNICEF,2018,Solid Achievement
RXDOOR,UNICEF,2017,Outstanding Achievement
RXDOOR,UNICEF,2018,Outstanding Achievement
RXDOXO,UNICEF,2017,Solid Achievement
RXDOXO,UNICEF,2018,Solid Achievement
RXDXRP,UNDP,2017,Successful performance
RXDXRP,UNDP,2018,Successful performance
RXRZDZ,UNICEF,2017,Solid Achievement
RXRSZO,UNICEF,2017,Solid Achievement
RXRSZO,UNICEF,2018,Solid Achievement
RXRRXD,UNICEF,2018,Solid Achievement
RXRKSS,UNDP,2017,Successful PLUS performance
RXRKSS,UNDP,2018,Successful PLUS performance
RXRKAX,UNICEF,2017,Solid Achievement
RXRKAX,UNICEF,2018,Solid Achievement
RXROPD,UNICEF,2016,Outstanding Achievement
RXROPD,UNICEF,2018,Solid Achievement
RXAZDA,UNICEF,2018,Solid Achievement
RXAZXO,UNICEF,2017,Solid Achievement
RXAZXO,UNICEF,2018,Solid Achievement
RXASFR,UNICEF,2016,Solid Achievement
RXAPPR,UNICEF,2016,Solid Achievement
RXARAF,UNICEF,2016,Outstanding Achievement
RXAARX,UNDP,2017,Successful PLUS performance
RXAARX,UNDP,2018,Successful PLUS performance
RXAAKX,UNICEF,2016,Solid Achievement
RXAKFD,UNICEF,2017,Solid Achievement
RXAKFD,UNICEF,2018,Solid Achievement
RXAOOA,UNICEF,2017,Solid Achievement
RXAOOA,UNICEF,2018,Solid Achievement
RXFZKP,UNICEF,2017,Outstanding Achievement
RXFZKP,UNICEF,2018,Outstanding Achievement
RXFSSS,UNICEF,2016,Solid Achievement
RXFRSS,UNICEF,2016,Solid Achievement
RXFRFX,UNICEF,2016,Solid Achievement
RXFAZR,UNICEF,2017,Solid Achievement
RXFAZR,UNICEF,2018,Solid Achievement
RXFFXD,UNICEF,2016,Solid Achievement
RXFKXO,UNICEF,2017,Solid Achievement
RXFKXO,UNICEF,2018,Solid Achievement
RXFOOA,UNICEF,2016,Solid Achievement
RXFXKZ,UNICEF,2017,Solid Achievement
RXFXKZ,UNICEF,2018,Solid Achievement
RXFXXP,UNICEF,2017,Solid Achievement
RXKZZO,UNICEF,2016,Solid Achievement
AZKRXF,UNICEF,2017,Solid Achievement
AZKRXF,UNICEF,2018,Solid Achievement
AZKAKS,UNICEF,2017,Low Achievement
AZKAKS,UNICEF,2018,Solid Achievement
AZKKPF,UNICEF,2016,Solid Achievement
AZKKDD,UNICEF,2017,Solid Achievement
AZKKDD,UNICEF,2018,Solid Achievement
AZKXFZ,UNICEF,2017,Solid Achievement
AZKXFZ,UNICEF,2018,Solid Achievement
AZOPXK,UNDP,2017,Successful performance
AZORSP,UNICEF,2017,Solid Achievement
AZORSP,UNICEF,2018,Solid Achievement
AZORDO,UNICEF,2016,Solid Achievement
AZORDX,UNICEF,2017,Solid Achievement
AZORDX,UNICEF,2018,Solid Achievement
AZOKZD,UNICEF,2017,Solid Achievement
AZOKR,UNICEF,2016,Solid Achievement
AZOOSK,UNDP,2017,Successful performance
AZXZDD,UNICEF,2016,Low Achievement
AZXZDD,UNICEF,2017,Solid Achievement
AZXZDD,UNICEF,2018,Solid Achievement
AZXSXD,UNICEF,2017,Outstanding Achievement
AZXDFF,UNDP,2017,Successful performance
AZXDFF,UNDP,2018,Successful PLUS performance
AZXDKA,UNICEF,2017,Solid Achievement
AZXFRX,UNICEF,2016,Solid Achievement
AZXOZS,UNICEF,2018,Solid Achievement
AZXXZO,UNICEF,2018,Solid Achievement
AZXXPR,UNDP,2017,Successful performance
AZXXFS,UNDP,2017,Successful performance
AZXXFS,UNDP,2018,
AZXXXR,UNICEF,2018,Outstanding Achievement
ASZSSP,UNICEF,2016,Solid Achievement
ASZRKD,UNICEF,2016,Outstanding Achievement
ASZRXA,UNICEF,2016,Solid Achievement
ASZAPD,UNICEF,2017,Solid Achievement
ASZAPD,UNICEF,2018,Solid Achievement
ASZADP,UNICEF,2016,Solid Achievement
ASZARX,UNICEF,2017,Solid Achievement
ASZFXZ,UNICEF,2016,Solid Achievement
ASZKDR,UNICEF,2017,Solid Achievement
ASZKDR,UNICEF,2018,Solid Achievement
ASZKDO,UNICEF,2018,Solid Achievement
ASSRZD,UNICEF,2016,Solid Achievement
ASSAAA,UNDP,2018,Successful PLUS performance
ASSFOP,UNICEF,2016,Solid Achievement
ASSKD,UNICEF,2016,Solid Achievement
ASSKRZ,UNDP,2017,Successful PLUS performance
ASSKRZ,UNDP,2018,
ASPFSR,UNICEF,2017,Outstanding Achievement
ASPKOK,UNICEF,2017,Solid Achievement
ASPKOK,UNICEF,2018,Solid Achievement
ASPODZ,UNICEF,2016,Solid Achievement
ASPOFD,UNDP,2017,Successful performance
ASPOFD,UNDP,2018,Successful PLUS performance
ASPOFO,UNICEF,2016,Solid Achievement
ASPXZO,UNICEF,2016,Solid Achievement
ASPXDA,UNICEF,2016,Solid Achievement
ASDAZP,UNDP,2018,Successful performance
ASDAS,UNICEF,2017,Outstanding Achievement
ASDAS,UNICEF,2018,Solid Achievement
ASDOOR,UNICEF,2016,Outstanding Achievement
ASDXZK,UNICEF,2016,Outstanding Achievement
ASDXOP,UNICEF,2016,Outstanding Achievement
ASRZAP,UNDP,2017,Successful PLUS performance
ASRSRO,UNICEF,2017,Solid Achievement
ASRSRX,UNDP,2017,Successful performance
ASRSK,UNDP,2018,Successful performance
ASRP,UNICEF,2017,Solid Achievement
ASRP,UNICEF,2018,Solid Achievement
ASRPAS,UNICEF,2016,Solid Achievement
ASRDRA,UNICEF,2016,Outstanding Achievement
ASRDRA,UNICEF,2017,Solid Achievement
ASRDRA,UNICEF,2018,Solid Achievement
ASRAXP,UNICEF,2018,Solid Achievement
ASRAXA,UNICEF,2016,Outstanding Achievement
ASRAXA,UNICEF,2017,Solid Achievement
ASRAXA,UNICEF,2018,Solid Achievement
ASRXSX,UNICEF,2016,Solid Achievement
ASAPRS,UNICEF,2016,Solid Achievement
ASAPXF,UNICEF,2017,Solid Achievement
ASADOS,UNICEF,2016,Solid Achievement
ASARPA,UNICEF,2017,Solid Achievement
ASARPA,UNICEF,2018,Solid Achievement
ASAKZD,UNICEF,2017,Solid Achievement
ASAKZD,UNICEF,2018,Solid Achievement
ASAKSS,UNICEF,2018,Solid Achievement
ASAKXA,UNICEF,2016,Solid Achievement
ASAXPR,UNICEF,2017,Solid Achievement
ASAXPR,UNICEF,2018,Solid Achievement
ASAXRS,UNICEF,2017,Solid Achievement
ASFZZ,UNICEF,2016,Solid Achievement
ASFZF,UNDP,2017,Successful performance
SZZSDOOR,UNDP,2017,Successful PLUS performance
SZZPAOSF,UNICEF,2018,Solid Achievement
SZZPOS,UNICEF,2018,Outstanding Achievement
SZZDKP,UNDP,2018,Successful performance
SZZRAAKS,UNDP,2018,Successful performance
SZZRFO,UNICEF,2016,Outstanding Achievement
SZZRKRXR,UNICEF,2017,Solid Achievement
SZZFKK,UNDP,2017,Successful performance
SZZFXO,UNICEF,2016,Outstanding Achievement
SZZKRS,UNICEF,2017,Outstanding Achievement
SZZKOX,UNICEF,2017,Solid Achievement
SZZOPRKZ,UNDP,2018,Successful performance
SZZOFRSZ,UNDP,2018,Successful PLUS performance
SZSZFS,UNICEF,2016,Solid Achievement
SZSSZO,UNICEF,2017,Outstanding Achievement
SZSSZO,UNICEF,2018,Solid Achievement
SZSPSK,UNICEF,2018,Solid Achievement
SZSPXP,UNICEF,2017,Solid Achievement
SZSPXP,UNICEF,2018,Solid Achievement
SZSDDX,UNICEF,2017,Outstanding Achievement
SZSDRSD,UNICEF,2017,Solid Achievement
SZSDRSD,UNICEF,2018,Solid Achievement
SZSOOD,UNICEF,2017,Solid Achievement
SZPPSS,UNICEF,2016,Outstanding Achievement
SZPARS,UNICEF,2018,Solid Achievement
SZPFK,UNICEF,2017,Solid Achievement
SZPFK,UNICEF,2018,Solid Achievement
SZPKPS,UNDP,2018,Successful performance
SZPOAD,UNDP,2017,Successful performance
SZDPDX,UNICEF,2017,Solid Achievement
SZDPDX,UNICEF,2018,Solid Achievement
SZDPKR,UNICEF,2018,Outstanding Achievement
SZDF,UNICEF,2017,Solid Achievement
SZDF,UNICEF,2018,Solid Achievement
SZDKPP,UNICEF,2018,Solid Achievement
SZRZKX,UNICEF,2016,Solid Achievement
SZRSFR,UNDP,2017,Successful PLUS performance
SZRSFR,UNDP,2018,Successful PLUS performance
SZRADD,UNDP,2017,Successful PLUS performance
SZRADD,UNDP,2018,Successful PLUS performance
SZRFPO,UNICEF,2017,Low Achievement
SZRFPO,UNICEF,2018,Solid Achievement
SZRKRR,UNICEF,2017,Solid Achievement
SZROFF,UNICEF,2018,Solid Achievement
SZRXRF,UNICEF,2016,Solid Achievement
SZAZZ,UNDP,2017,Performance below standards
SZASDP,UNICEF,2017,Outstanding Achievement
SZASDP,UNICEF,2018,Solid Achievement
SZAP,UNICEF,2016,Outstanding Achievement
SZAXRD,UNDP,2017,Successful PLUS performance
SZAXFO,UNICEF,2018,Solid Achievement
SZFZOX,UNICEF,2018,Solid Achievement
SZFRP,UNICEF,2017,Solid Achievement
SZFRP,UNICEF,2018,Solid Achievement
SZFRDK,UNDP,2017,Successful performance
SZFFAK,UNDP,2017,Successful performance
SZFKX,UNICEF,2016,Solid Achievement
SZKSS,UNICEF,2017,Solid Achievement
SZKRF,UNICEF,2017,Solid Achievement
SZKRF,UNICEF,2018,Solid Achievement
SZKKSPRZ,UNICEF,2018,Solid Achievement
SZKOAD,UNICEF,2017,Solid Achievement
SZOZPD,UNDP,2018,Successful performance
SZOZXS,UNICEF,2016,Solid Achievement
SZORZS,UNDP,2017,Successful performance
SZORZS,UNDP,2018,Successful performance
SZORKA,UNICEF,2017,Solid Achievement
SZOADR,UNICEF,2017,Solid Achievement
SZOADR,UNICEF,2018,Solid Achievement
SZOOAD,UNICEF,2016,Outstanding Achievement
SZOOXR,UNICEF,2016,Outstanding Achievement
SZXPOS,UNDP,2017,Successful performance
SZXPOS,UNDP,2018,Successful PLUS performance
SZXDOZ,UNICEF,2017,Solid Achievement
SZXOKX,UNICEF,2016,Outstanding Achievement
SZXXOP,UNDP,2018,Successful performance
SSZZRX,UNDP,2017,Successful performance
SSZZRX,UNDP,2018,Successful PLUS performance
SSZPKD,UNICEF,2016,Outstanding Achievement
SSZKP,UNICEF,2016,Solid Achievement
SSSZZD,UNICEF,2017,Solid Achievement
SSSZZD,UNICEF,2018,Solid Achievement
SSSZSK,UNICEF,2017,Outstanding Achievement
SSSZSK,UNICEF,2018,Outstanding Achievement
SSSZXS,UNICEF,2017,Solid Achievement
SSSZXS,UNICEF,2018,Solid Achievement
SSSZXK,UNICEF,2017,Solid Achievement
SSSZXK,UNICEF,2018,Solid Achievement
SSSSXO,UNICEF,2016,Outstanding Achievement
SSSSXO,UNICEF,2017,Solid Achievement
SDPKDD,UNICEF,2016,Solid Achievement
SDPOZK,UNICEF,2017,Outstanding Achievement
SDDSDS,UNICEF,2016,Solid Achievement
SDDPXK,UNDP,2018,Successful PLUS performance
SDDD,UNICEF,2016,Solid Achievement
SDDDPR,UNDP,2017,Successful performance
SDDDFP,UNICEF,2016,Solid Achievement
SDDFSP,UNDP,2017,Successful PLUS performance
SDDFOR,UNICEF,2018,Solid Achievement
SDDKOO,UNICEF,2018,Solid Achievement
SDRSKR,UNICEF,2016,Solid Achievement
SDRDSA,UNICEF,2016,Solid Achievement
SDRDRR,UNDP,2017,Successful PLUS performance
SDRFFD,UNICEF,2016,Outstanding Achievement
SDRFXK,UNDP,2017,Successful performance
SDRFXK,UNDP,2018,Partially successful performance
SDRFXO,UNDP,2017,Successful performance
SDRXPS,UNICEF,2017,Outstanding Achievement
SDAZSR,UNICEF,2016,Solid Achievement
SDASSR,UNICEF,2017,Solid Achievement
SDASSR,UNICEF,2018,Solid Achievement
SDASXF,UNDP,2017,
SDAPSX,UNDP,2017,Successful PLUS performance
SDADFZ,UNICEF,2016,Solid Achievement
SDAAFX,UNDP,2017,Successful performance
SDFZAD,UNDP,2017,Successful performance
SDFZAD,UNDP,2018,Successful performance
SDFSOS,UNICEF,2016,Outstanding Achievement
SDFDFD,UNDP,2018,Successful PLUS performance
SDKZSK,UNICEF,2016,Low Achievement
SDKZAD,UNICEF,2016,Solid Achievement
SDKSPD,UNICEF,2017,Outstanding Achievement
SDKDOD,UNICEF,2017,Solid Achievement
SDKRZK,UNDP,2017,Successful performance
SDKRZK,UNDP,2018,Successful performance
SDKFPO,UNICEF,2016,Solid Achievement
SDKXA,UNDP,2018,Successful PLUS performance
SDKXAX,UNICEF,2016,Solid Achievement
SDOZZA,UNICEF,2016,Solid Achievement
SDOSOK,UNICEF,2017,Solid Achievement
SDORAP,UNICEF,2017,Solid Achievement
SDORAP,UNICEF,2018,Solid Achievement
SDOKZX,UNICEF,2016,Outstanding Achievement
SDXDAK,UNICEF,2016,Solid Achievement
SDXRF,UNICEF,2017,Solid Achievement
SDXRF,UNICEF,2018,Solid Achievement
SDXROS,UNICEF,2017,Outstanding Achievement
SDXROS,UNICEF,2018,Solid Achievement
SDXORZ,UNICEF,2016,Outstanding Achievement
SDXXOR,UNDP,2017,Successful performance
SDXXOR,UNDP,2018,Successful performance
SRZZPF,UNDP,2017,Successful performance
SRZZPF,UNDP,2018,Successful performance
SRZSRF,UNICEF,2016,Solid Achievement
SRZPSO,UNDP,2017,Successful performance
SRZPPD,UNICEF,2017,Outstanding Achievement
SRZPPD,UNICEF,2018,Outstanding Achievement
SRZPDD,UNDP,2017,Successful performance
SRZDAD,UNDP,2017,Successful performance
SRZDAD,UNDP,2018,Successful performance
SRZRRO,UNDP,2017,Successful PLUS performance
SRZRRO,UNDP,2018,Successful PLUS performance
SRZROA,UNICEF,2018,Solid Achievement
SRZFAA,UNDP,2017,Successful performance
SRZFFF,UNDP,2017,Successful PLUS performance
SRZKRK,UNICEF,2017,Solid Achievement
SRZKRK,UNICEF,2018,Solid Achievement
SRSSKR,UNDP,2017,Successful performance
SRSPDX,UNICEF,2016,Solid Achievement
SRSDAP,UNICEF,2016,Solid Achievement
SRSXDD,UNICEF,2018,Solid Achievement
SRSXAO,UNICEF,2017,Solid Achievement
SRSXAO,UNICEF,2018,Solid Achievement
SRPDRZ,UNICEF,2016,Solid Achievement
SRPFDD,UNDP,2017,Successful performance
SRPFDD,UNDP,2018,Successful PLUS performance
SRPXSS,UNDP,2017,Successful performance
SRPXSS,UNDP,2018,Successful PLUS performance
SRDPZR,UNDP,2017,Successful PLUS performance
SRDPZR,UNDP,2018,Successful PLUS performance
SRDPAA,UNDP,2017,
SRDROF,UNDP,2017,Successful performance
SRDROF,UNDP,2018,Successful performance
SRDAPF,UNICEF,2016,Solid Achievement
SRDARX,UNICEF,2017,Solid Achievement
SRDARX,UNICEF,2018,Solid Achievement
SRDAFP,UNICEF,2016,Solid Achievement
SRDOFP,UNICEF,2016,Solid Achievement
SRDOFA,UNICEF,2016,Solid Achievement
SRRZZR,UNICEF,2017,Outstanding Achievement
SFPAOP,UNICEF,2017,Outstanding Achievement
PKORDF,UNICEF,2017,Low Achievement
PKORDF,UNICEF,2018,Low Achievement
PKOFX,UNICEF,2017,Solid Achievement
PKXSDP,UNICEF,2016,Outstanding Achievement
PKXPOO,UNICEF,2018,Solid Achievement
PKXRDZ,UNDP,2017,Successful performance
PKXRDZ,UNDP,2018,Successful performance
PKXFXP,UNDP,2017,Successful performance
PKXFXP,UNDP,2018,Successful performance
PKXOZP,UNICEF,2018,Outstanding Achievement
PKXOAS,UNICEF,2016,Solid Achievement
PKXOKX,UNDP,2017,Successful performance
PKXOKX,UNDP,2018,Successful performance
POZSXO,UNICEF,2017,Solid Achievement
POZSXO,UNICEF,2018,Solid Achievement
POZKS,UNICEF,2018,Solid Achievement
POZKXK,UNDP,2018,
POSPOD,UNICEF,2016,Outstanding Achievement
POSPOD,UNICEF,2017,Solid Achievement
POSOXA,UNICEF,2016,Outstanding Achievement
POSOXA,UNICEF,2017,Solid Achievement
POPDA,UNICEF,2016,Solid Achievement
POPRPP,UNICEF,2016,Outstanding Achievement
POPRXF,UNDP,2017,Successful PLUS performance
POPAOP,UNICEF,2017,Solid Achievement
POPAOP,UNICEF,2018,Solid Achievement
POPXPA,UNICEF,2017,Outstanding Achievement
PODPKK,UNICEF,2017,Solid Achievement
PODPKK,UNICEF,2018,Solid Achievement
PODKZX,UNDP,2018,Successful PLUS performance
PODXPF,UNICEF,2018,Solid Achievement
PORDO,UNICEF,2017,Solid Achievement
PORDO,UNICEF,2018,Solid Achievement
PORKRO,UNICEF,2017,Solid Achievement
PORKRO,UNICEF,2018,Solid Achievement
POROOA,UNICEF,2018,Solid Achievement
POAZZP,UNICEF,2018,Solid Achievement
POAZAZ,UNICEF,2017,Solid Achievement
POAZAZ,UNICEF,2018,Solid Achievement
POASOK,UNICEF,2016,Solid Achievement
POAPDX,UNICEF,2016,Solid Achievement
POAPFS,UNICEF,2017,Solid Achievement
POAPFS,UNICEF,2018,Solid Achievement
POADSD,UNICEF,2017,Solid Achievement
POADSD,UNICEF,2018,Solid Achievement
POAARO,UNICEF,2016,Solid Achievement
POAFOO,UNDP,2017,Successful performance
POAXAA,UNICEF,2018,Solid Achievement
POAXXX,UNICEF,2017,Solid Achievement
POAXXX,UNICEF,2018,Solid Achievement
POFRXF,UNICEF,2018,Outstanding Achievement
POFOAS,UNICEF,2016,Solid Achievement
POFOFA,UNICEF,2017,Solid Achievement
POFOOR,UNICEF,2016,Solid Achievement
POFXSZ,UNICEF,2016,Solid Achievement
POFXPS,UNICEF,2017,Solid Achievement
POFXPS,UNICEF,2018,Solid Achievement
POKZSZ,UNDP,2017,Successful performance
POKZSZ,UNDP,2018,Successful performance
POKZPA,UNICEF,2017,Solid Achievement
POKZPA,UNICEF,2018,Solid Achievement
POKSSA,UNICEF,2017,Solid Achievement
POKSDD,UNICEF,2016,Solid Achievement
POKPOP,UNDP,2017,Successful PLUS performance
POKPOP,UNDP,2018,Successful PLUS performance
POKRXA,UNICEF,2016,Solid Achievement
POKARR,UNICEF,2018,Solid Achievement
POKKKZ,UNICEF,2016,Solid Achievement
POKXDP,UNICEF,2018,Outstanding Achievement
POOZFK,UNICEF,2018,Solid Achievement
POOPPR,UNICEF,2018,Outstanding Achievement
POOAZS,UNDP,2018,Successful PLUS performance
POOAKS,UNICEF,2016,Outstanding Achievement
POOAKS,UNICEF,2017,Solid Achievement
POOAKS,UNICEF,2018,Solid Achievement
POOKAR,UNICEF,2017,Solid Achievement
POOKAR,UNICEF,2018,Solid Achievement
POOXKZ,UNICEF,2016,Solid Achievement
POXSRF,UNICEF,2017,Outstanding Achievement
POXDDO,UNICEF,2018,Solid Achievement
POXRZS,UNICEF,2017,Solid Achievement
POXRZS,UNICEF,2018,Solid Achievement
POXADS,UNDP,2017,Successful performance
POXAOF,UNICEF,2016,Solid Achievement
POXORD,UNICEF,2016,Solid Achievement
PXZSZX,UNDP,2017,Successful performance
PXZSAF,UNDP,2018,Successful performance
PXZPPZ,UNICEF,2016,Outstanding Achievement
PXZRRX,UNICEF,2017,Solid Achievement
PXZASZ,UNDP,2017,Successful PLUS performance
PXZASZ,UNDP,2018,Successful PLUS performance
DSOPRO,UNICEF,2017,Solid Achievement
DSOPRO,UNICEF,2018,Solid Achievement
DSOFP,UNICEF,2016,Solid Achievement
DSOKZ,UNICEF,2018,Solid Achievement
DSOKRS,UNICEF,2017,Outstanding Achievement
DSOKRS,UNICEF,2018,Outstanding Achievement
DSOKKD,UNICEF,2017,Outstanding Achievement
DSOKKD,UNICEF,2018,Outstanding Achievement
DSOXDS,UNICEF,2016,Solid Achievement
DSXZSP,UNICEF,2016,Outstanding Achievement
DSXDKR,UNICEF,2017,Solid Achievement
DSXDKR,UNICEF,2018,Solid Achievement
DSXFKX,UNICEF,2018,Solid Achievement
DSXFOA,UNICEF,2016,Solid Achievement
DSXKAP,UNICEF,2016,Outstanding Achievement
DSXORR,UNICEF,2016,Solid Achievement
DSXORF,UNICEF,2017,Solid Achievement
DSXORF,UNICEF,2018,Solid Achievement
DPZSOS,UNDP,2017,Successful PLUS performance
DPZSOS,UNDP,2018,Successful PLUS performance
DPZPZS,UNDP,2017,Successful performance
DPZPZS,UNDP,2018,Successful performance
DPZDZF,UNDP,2017,Successful performance
DPZDZF,UNDP,2018,Successful performance
DPZKRX,UNICEF,2017,Outstanding Achievement
DPZXFO,UNICEF,2017,Solid Achievement
DPZXFO,UNICEF,2018,Solid Achievement
DPSRRK,UNDP,2017,Successful performance
DPSRRK,UNDP,2018,Successful PLUS performance
DPSRA,UNDP,2017,Successful PLUS performance
DPSRA,UNDP,2018,Successful PLUS performance
DPSRK,UNICEF,2018,Solid Achievement
DPSKFO,UNICEF,2017,Solid Achievement
DPPSZD,UNICEF,2017,Solid Achievement
DPPSXD,UNICEF,2016,Solid Achievement
DPPDKK,UNICEF,2016,Outstanding Achievement
DPPRKK,UNICEF,2017,Solid Achievement
DPPRKK,UNICEF,2018,Solid Achievement
DPPAZF,UNICEF,2018,Outstanding Achievement
DPPAOO,UNDP,2018,
DPPKFK,UNICEF,2018,Outstanding Achievement
DPPXAR,UNDP,2017,
DPDZXO,UNDP,2017,Successful performance
DPDPRA,UNICEF,2016,Solid Achievement
DPDPFX,UNICEF,2016,Solid Achievement
DPDPKD,UNDP,2017,Successful PLUS performance
DPDPKD,UNDP,2018,Successful PLUS performance
DPDDFX,UNICEF,2017,Solid Achievement
DPDDOD,UNICEF,2017,Solid Achievement
DPDROA,UNICEF,2017,Solid Achievement
DPDROA,UNICEF,2018,Solid Achievement
DPDKPA,UNDP,2017,Successful PLUS performance
DPDKPA,UNDP,2018,Successful PLUS performance
DPDXRK,UNICEF,2016,Solid Achievement
DPDXXX,UNICEF,2018,Outstanding Achievement
DPRPSO,UNICEF,2018,Solid Achievement
DPROFZ,UNICEF,2017,Solid Achievement
DPROFZ,UNICEF,2018,Solid Achievement
DPAPAK,UNICEF,2017,Solid Achievement
DPAPAK,UNICEF,2018,Solid Achievement
DPAPAO,UNDP,2018,Successful performance
DPAROO,UNICEF,2017,Solid Achievement
DPAKDA,UNDP,2017,Successful performance
DPAKDA,UNDP,2018,Successful performance
DPAKAF,UNICEF,2017,Solid Achievement
DPAKAF,UNICEF,2018,Solid Achievement
DPAOXD,UNDP,2018,Successful performance
DPAXRF,UNICEF,2018,Solid Achievement
DPFDSS,UNICEF,2016,Solid Achievement
DPFRPX,UNICEF,2017,Outstanding Achievement
DPFRPX,UNICEF,2018,Outstanding Achievement
DPFASR,UNICEF,2016,Solid Achievement
DPFAX,UNDP,2017,Successful performance
DPFFDO,UNICEF,2018,Solid Achievement
DPFXZA,UNICEF,2016,Solid Achievement
DPKZZA,UNDP,2017,Successful performance
DPKZZA,UNDP,2018,Successful performance
DPKZXD,UNICEF,2016,Solid Achievement
DPKSS,UNICEF,2018,Solid Achievement
DPKSDX,UNICEF,2016,Solid Achievement
DPKSF,UNDP,2017,Successful performance
DPKAPF,UNDP,2017,Successful performance
DPKAPF,UNDP,2018,Successful PLUS performance
DPKARO,UNICEF,2016,Solid Achievement
DPKKKR,UNICEF,2018,Solid Achievement
DPOSFD,UNICEF,2017,Solid Achievement
DPOSXA,UNICEF,2018,Outstanding Achievement
DPODAS,UNICEF,2016,Outstanding Achievement
DPOR,UNDP,2017,Successful performance
DPORFZ,UNDP,2017,Successful PLUS performance
RSKFFF,UNICEF,2017,Solid Achievement
RSKFFF,UNICEF,2018,Solid Achievement
RSKKXX,UNDP,2018,Successful performance
RSKXRF,UNICEF,2017,Solid Achievement
RSKXRF,UNICEF,2018,Solid Achievement
RSOPS,UNICEF,2017,Solid Achievement
RSOPS,UNICEF,2018,Solid Achievement
RSOPSR,UNICEF,2017,Solid Achievement
RSOPSR,UNICEF,2018,Solid Achievement
RSORZZ,UNICEF,2017,Solid Achievement
RSORZZ,UNICEF,2018,Solid Achievement
