Post No,Index No,Organization,Requisition No,Position Grade,No of Applications Submitted,Internal / External,Post title,Vacancy Year
SSSSRAFF,Z,UNDP,46804,A9,57,,Analyste des Opérations (Ce poste est ouvert uniquement aux candidats de nationalité burundaise),2014
SSSSRAFF,Z,UNDP,48491,A9,28,,Republication - Analyste des Opérations,2014
SSSSRAFF,Z,UNDP,52008,A9,37,,Republication - Analyste des Opérations,2014
SSSSRAFF,Z,UNDP,62925,A9,52,,Republication - Analyste des Opérations - Bujumbura, BURUNDI,2016
SSSSRDKS,KRDORP,UNDP,16864,A6,53,External,Associé aux Finances (Poste réservé exclusivement aux Ressortissants Centrafricains).,2018
SSSSRPSK,Z,UNDP,54805,A13,795,,Research Analyst,2015
SSSSRPKA,FOPFXD,UNDP,22780,A14,108,External,Mail Clerk,2011
SSSSRPKR,ADPXFR,UNDP,35864,A6,186,External,Administrative Associate (Applicants who previously applied do not need to re-apply),2013
SSSSRPFZ,Z,UNDP,12999,A6,43,,Programme Associate, Volunteer Solutions - On-site (international UNV assignments),2017
SSSSRPFO,SZRSFR,UNDP,23792,A6,155,External,Data Management Associate,2011
SSSSRPFF,OZDXPA,UNDP,18945,A16,111,Internal,Human Resources Assistant,2010
SSSSRPFR,Z,UNDP,5180,A6,43,,Human Resources Associate,2016
SSSSRPFD,Z,UNDP,34106,A6,67,,Portfolio Associate,2012
SSSSRPFP,Z,UNDP,28789,A7,49,,Finance Associate,2012
SSSSRPAF,SZXZR,UNDP,7986,A6,23,External,Recruitment Associate,2017
SSSSRPAA,Z,UNDP,13000,A6,40,,Operations Associate, Volunteer Recruitment, Asia, Pacific, Latin America and the Caribbean Regional Team,2017
SSSSRPAA,Z,UNDP,21752,A6,40,,Operations Associate, Volunteer Recruitment,2019
SSSSRPAA,DKRXOR,UNDP,16315,A6,31,Internal,Operations Associate,2018
SSSSRPAR,Z,UNDP,19029,A13,62,,ICT Analyst, Infrastructure,2018
SSSSRPAR,Z,UNDP,7012,A6,19,,ICT Infrastructure Associate,2016
SSSSRPAR,SZPPRDS,UNDP,20257,A13,111,External,ICT Analyst, Infrastructure,2019
SSSSRPAP,Z,UNDP,34158,A6,16,,Partnerships Development Associate,2012
SSSSRPRS,ARDDXZ,UNDP,20700,A16,97,External,ICT Infrastructure Assistant,2011
SSSSRPRS,ARDDXZ,UNDP,21926,A16,78,External,ICT Infrastructure Assistant,2011
SSSSRPRZ,AARDSA,UNDP,23798,A6,1,Internal,Operations Associate, Volunteer Management,2019
SSSSRPRZ,AARDSA,UNDP,23810,A6,75,Internal,Operations Associate, Volunteer Management,2019
SSSSRPRK,Z,UNDP,25717,A6,120,,Partnerships Development Associate,2011
SSSSRPRK,FDZSRR,UNDP,26795,A6,53,Internal,Partnerships Development Associate,2012
SSSSPXDP,Z,UNDP,37721,A6,129,,UNRCO Coordination Associate (Open to nationals of Zimbabwe only),2013
SSSSPXDP,Z,UNDP,41639,A6,194,,UNRCO Coordination Associate - (Open to Nationals of Zimbabwe only),2013
SSSSPKSS,Z,UNDP,60930,A6,258,,Operations Associate - (Open to Tanzania Nationals Only),2015
SSSSPKRK,OFSZDZ,UNDP,14792,A7,146,Internal,Regional Payroll Associate,2010
SSSSPKDO,DPRZFR,UNDP,23791,A6,245,Internal,Operations Associate,2011
SSSSPFXD,OAZKDS,UNDP,13987,A14,10,External,Radio Operator,2018
SSSSPARR,Z,UNDP,3953,A10,86,,Monitoring and Evaluation Specialist,2016
SSSSPARR,Z,UNDP,45116,A9,161,,Programme Analyst (Evaluation),2014
SSSSPARR,Z,UNDP,7026,A10,59,,M&E Specialist,2016
SSSSPARR,KSZZPZFO,UNDP,18794,A9,132,External,M&E  Analyst,2019
SSSSPADA,SFFPXS,UNDP,5572,A6,23,Internal,Technical Associate (Payroll),2016
SSSSPDPZ,Z,UNDP,17649,A14,38,,Atlas HCM Technical/Functional Specialist,2010
SSSSPPFA,OKKOP,UNDP,34850,A9,1,External,Programme Analyst Environment (FTA - NOB),2013
SSSSPPFA,OKKOP,UNDP,34857,A9,36,External,Programme Analyst Environment (FTA - NOB),2013
SSSSPPAO,Z,UNDP,29357,A14,87,,Online Communications Manager,2012
SSSSPPPP,Z,UNDP,14710,A8,15,,Communication Analyst,2010
SSSZSSDA,Z,UNDP,16952,A7,31,,Programme Finance Associate,2010
SSSZSZZK,RSOADP,UNDP,11827,A15,29,External,Operations Assistant,2017
SSSZSZZK,RSOADP,UNDP,23767,A16,7,Internal,Operations Assistant,2019
SSSZSZZR,Z,UNDP,28973,A16,27,,Roving Human Resources Advisor/ BAS/OHR,2012
SSSZSXZF,Z,UNDP,20061,A9,24,,Programme Officer- Environment/Climate Change (for Samoan nationals only),2010
SSSZSXZF,AFSXPR,UNDP,45778,A9,9,External,Re-advertisement - Program Officer- Environment - (Open to Samoan Nationals only),2014
SSSZSXRA,Z,UNDP,7044,A7,127,,ICT Associate,2016
SSSZSOZS,RKPRXR,UNDP,12974,A6,43,Internal,Procurement Associate,2018
SSSZSOOZ,Z,UNDP,5680,A7,5,,Programme Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSZSORR,AKPZDP,UNDP,39083,A6,572,External,Local Security Associate  (opened to Nigerian Nationals only),2013
SSSZSOPX,Z,UNDP,18900,A11,76,,Director of UN Resident Coordinator’s Office (only Bangladeshi nationals are eligible to apply),2010
SSSZSKOP,ROPOZF,UNDP,27328,A6,40,External,Coordination Associate - Budget, Administration and Data Management,2012
SSSZSKOP,ROPOZF,UNDP,28071,A6,160,External,Coordination Associate - Budget, Administration and Data Management,2012
SSSZSFZX,RRKSRZ,UNDP,22453,A9,57,Internal,Human Resources Analyst - (Open to Panamanian Nationals Only),2011
SSSZSFFD,Z,UNDP,22978,A9,190,,Information and Communication Technology Analyst,2011
SSSZSFDD,Z,UNDP,19641,A6,266,,Projects Support Associate (Programme Associate),2010
SSSZSFDD,DDKZKK,UNDP,9478,A6,78,External,Programme Associate,2017
SSSZSAOZ,Z,UNDP,34897,A6,25,,Programme Associate, Online Volunteering,2013
SSSZSAOO,Z,UNDP,28979,A16,30,,Finance Assistant (3 positions),2012
SSSZSAOO,Z,UNDP,45097,A16,17,,Finance Assistant,2014
SSSZSAOO,Z,UNDP,46309,A16,21,,Finance Assistant,2014
SSSZSAOK,Z,UNDP,50580,A6,23,,Programme Associate,2014
SSSZSAOK,RRODO,UNDP,6928,A6,24,External,Programme Associate (Inclusive Green Growth and Sustainable Development),2017
SSSZSAKA,Z,UNDP,61542,A13,70,,HR Analyst (Occupational Health Safety and Wellbeing),2015
SSSZSAAR,KAXXOA,UNDP,16083,A9,53,External,Programme Analyst (Energy & Environment),2010
SSSZSDSX,Z,UNDP,32744,A16,101,,Executive Assistant to the Director, UNFPA Office in Geneva,2012
SSSZSDSP,Z,UNDP,19085,A6,233,,Human Resources Associate,2010
SSSZSDKX,Z,UNDP,14423,A16,105,,Pacific Regional Macro-Economic & Poverty Reduction Advisor and Project Manager,2010
SSSZSDKK,Z,UNDP,17098,A16,119,,Pacific Regional Crisis Prevention and Recovery Advisor/Project Manager,2010
SSSZSDKF,Z,UNDP,16533,A15,96,,Pacific Regional Millennium Development Goals Specialist,2010
SSSZSDAP,Z,UNDP,29202,A10,174,,ICT Specialist (Nationals Only),2012
SSSZSDAP,RSRZXO,UNDP,40956,A10,279,External,ICT Specialist (Open to Zimbabwean nationals only),2013
SSSZSDAP,KSZZDKPA,UNDP,24560,A9,64,External,ICT Analyst,2019
SSSZSDRX,Z,UNDP,13235,A9,191,,Programme Manager (Health and HIV) (National),2010
SSSZSDRX,Z,UNDP,64696,A15,46,,Spécialiste Technique (TB)/Assistance Technique International TB/MDR - Position Internationale,2016
SSSZSPSD,Z,UNDP,17961,A15,207,,Audit Specialist,2010
SSSZSPSD,Z,UNDP,19983,A15,117,,Audit Specialist (re-advertisement),2010
SSSZSPSD,Z,UNDP,24060,A15,121,,Audit Specialist,2019
SSSZSPSD,RZZSOR,UNDP,42691,A15,155,Internal,Audit Specialist,2014
SSSZSPFA,Z,UNDP,59800,A7,71,,Programme Associate - (Open to Filipino Nationals Only),2015
SSSZSPDD,Z,UNDP,46850,A6,145,,Local Security Assistant VA-2014/05/068,2014
SSSZZSZF,Z,UNDP,10313,A7,16,,Human Resources Associate,2017
SSSZZSZF,Z,UNDP,12398,A7,23,,Human Resources Associate,2017
SSSZZSZF,DDKAKD,UNDP,65729,A7,24,Internal,Human Resources (HR) Associate - (Open Only to Eritreans Nationals),2016
SSSZZSXZ,Z,UNDP,33152,A10,144,,Administrative Specialist (UN House Manager ),2012
SSSZZSXK,Z,UNDP,26126,A14,723,,Receptionist,2019
SSSZZSXF,Z,UNDP,13718,A14,825,,Registry Clerk,2017
SSSZZZXX,Z,UNDP,66889,A13,413,,Driver (2 Positions),2016
SSSZZZOR,Z,UNDP,54083,A6,5,,Facility Management Associate - (Open to UNDP/Nepal Internal National Staff Members only),2015
SSSZZXSO,Z,UNDP,55086,A6,83,,Local Security (LS) Staff Tracking and GIS Assistant VA-2015/03/029 Re-advertisement,2015
SSSZZXZF,Z,UNDP,24687,A7,134,,Procurement Associate,2019
SSSZZXZD,KSZZSDKX,UNDP,16023,A6,46,External,Programme Associate (PMSU),2018
SSSZZXXK,PRZORD,UNDP,9123,A16,51,Internal,Administrative Assistant,2017
SSSZZXKP,RPZAPK,UNDP,16023,A9,60,External,1090 - UNDP/UNRC Communications Specialist,2010
SSSZZOKZ,Z,UNDP,58512,A9,30,,Programme Analyst,2015
SSSZZOFK,Z,UNDP,18526,A6,83,,Communications and Reporting Associate,2018
SSSZZOFK,FRXRS,UNDP,62705,A6,40,Internal,Partnership and Reporting Associate,2016
SSSZZOFF,FAZRKP,UNDP,20452,A9,58,Internal,Programme Analyst /Soild Waste,2019
SSSZZOPX,Z,UNDP,18282,A16,330,,Administrative Assistant,2010
SSSZZKAK,Z,UNDP,14476,A16,163,,Peace and Development Advisor ( Readvertisement),2010
SSSZZKAD,Z,UNDP,21729,A16,76,,Procurement  Assistant, FTA (UNDP Country Office),2011
SSSZZKAD,APKDSF,UNDP,18111,A16,48,External,Procurement Assistant (Fixed-Term Appointment, UNDP),2010
SSSZZADP,DFPSAO,UNDP,66691,A7,95,External,Programme Associate (Inclusive Development),2016
SSSZZAPZ,FPPFAR,UNDP,64568,A8,108,Internal,Programme Analyst (Inclusive Development),2016
SSSZZROS,Z,UNDP,39330,A14,199,,Programme Specialist, HIV, Health & Development (HHD),2013
SSSZZRKS,KZOAZF,UNDP,6836,A6,13,Internal,Programme Associate, Strategic Planning,2017
SSSZZRFK,XKRXRZ,UNDP,6834,A15,3,External,ICT Support Clerk,2017
SSSZZRDX,Z,UNDP,6809,A9,8,,Management Analyst,2017
SSSZZRDX,KSZZSFZX,UNDP,18514,A9,35,External,Management Analyst,2019
SSSZZRDK,Z,UNDP,14744,A8,44,,Procurement Leader and Liaison to the Joint Operations Facility (JOF),2018
SSSZZRDK,DROFFZ,UNDP,6833,A8,15,External,Procurement and JOF Interface Analyst,2017
SSSZZRDK,DROFFZ,UNDP,7712,A8,47,External,Procurement and JOF Interface Analyst,2017
SSSZZRPR,Z,UNDP,6803,A16,14,,Programme Assistant, Peace,2017
SSSZZDZS,Z,UNDP,8278,A8,41,,Project Manager,2017
SSSZZDXX,XDKXKP,UNDP,6801,A6,11,Internal,Programme Associate, People and Prosperity,2017
SSSZZDAD,Z,UNDP,9199,A11,16,,Global Partnership Advisor,2017
SSSZZPSF,Z,UNDP,6483,A8,18,,Management Analyst,2016
SSSZKSSR,Z,UNDP,58961,A6,16,,ICT Associate (Common Services) - (Open to Papua New Guinea Nationals Only),2015
SSSZKSOA,SPRPOA,UNDP,14096,A16,91,External,Human Resources Assistant,2018
SSSZKSOA,SADOF,UNDP,62707,A16,264,Internal,Human Resources (HR) Assistant,2016
SSSZKSFD,FPSOKR,UNDP,28621,A16,14,Internal,Finance Assistant,2012
SSSZKSAS,Z,UNDP,34233,A16,137,,Human Resources Assistant,2012
SSSZKSAS,KRASSA,UNDP,56457,A16,19,Internal,Human Resources (HR) Assistant,2015
SSSZKZSP,Z,UNDP,65840,A6,23,,Administrative Associate (Only for Myanmar National),2016
SSSZKZXO,Z,UNDP,5622,A16,6,,Admininistrative Assistant (Facilities) - (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSZKZKP,Z,UNDP,23938,A6,73,,Administrative Associate - UN House,2011
SSSZKZKP,Z,UNDP,28605,A16,26,,Administrative Assistant (Common Services) - Open to PNG Nationals only,2012
SSSZKZAR,KSZZPPRF,UNDP,19857,A9,289,External,Communications Analyst,2019
SSSZKXZS,Z,UNDP,51810,A9,287,,UNOCHA Administration & Finance Officer - (Open to Nationals of Zimbabwe only),2014
SSSZKXXS,Z,UNDP,27746,A9,218,,UNOCHA Programme Analyst: National Humanitarian Officer/ Disaster Preparedness (Zimbabwean Nationals Only),2012
SSSZKXRK,SRXDF,UNDP,64823,A9,2,Internal,UN Coordination Analyst - (Open to National Staff of UNDP Namibia Only),2016
SSSZKOSP,Z,UNDP,3345,A16,38,,ICT Assistant,2016
SSSZKOSP,Z,UNDP,6033,A16,45,,ICT Assistant,2016
SSSZKOPF,Z,UNDP,42433,A7,33,,Payroll Associate (Regional Payroll),2013
SSSZKKZF,KOFADX,UNDP,17485,A7,142,External,Payroll Support Associate,2010
SSSZKKZA,PPOZZA,UNDP,22280,A7,138,Internal,Payroll Associate,2011
SSSZKKXF,KAAPXP,UNDP,25095,A7,8,Internal,Human Resources Associate,2011
SSSZKKOF,Z,UNDP,18741,A9,155,,Analyste au Programme (Réduction de la Pauvreté),2010
SSSZKKFF,Z,UNDP,18755,A6,116,,Associé(e) au Programme,2010
SSSZKFZZ,OOSOSR,UNDP,28970,A10,2,Internal,PROGRAMME SPECIALIST (Local and Regional Development and Confidence Building Team Leader),2012
SSSZKFOF,Z,UNDP,63545,A9,255,,Analyste au Programme / Développement Humain Durable - Etre de Nationalité Ivoirienne,2016
SSSZKAOK,Z,UNDP,18767,A14,296,,Réceptioniste,2010
SSSZKAOK,Z,UNDP,62107,A14,36,,Réceptionniste,2015
SSSZKAAP,Z,UNDP,32195,A10,37,,Assistant Country Director (Programme) Environmental Sustainability & Resilience (ESR) Team - OPEN TO SRI LANKAN NATIONALS ONLY,2012
SSSZKAAP,OPDORO,UNDP,43594,A10,150,External,Assistant Country Director (Programme),2014
SSSZKRZX,Z,UNDP,24171,A7,2529,,Human Resources (HR) Associate,2011
SSSZKRXA,DPDDKA,UNDP,47701,A16,1468,External,Finance Assistant,2014
SSSZKROS,RRKD,UNDP,43705,A14,89,External,Driver to the Head of Office,2014
SSSZKROS,RRKD,UNDP,46919,A14,325,External,Driver to the Head of Office,2014
SSSZKROO,KSZZSFXP,UNDP,19057,A16,52,External,Procurement Assistant,2019
SSSZKROO,KXDPRX,UNDP,6793,A6,7,Internal,Procurement Associate, JOF Interface,2017
SSSZKRKZ,OFOZSZ,UNDP,46633,A6,113,External,Finance Associate,2014
SSSZKRRX,Z,UNDP,27826,A9,9,,Communications Analyst,2019
SSSZKRDO,Z,UNDP,15478,A7,4,,LAN Associate,2018
SSSZKRDO,Z,UNDP,15500,A7,4,,LAN Associate,2018
SSSZKRDF,Z,UNDP,12727,A16,639,,Programme Assistant,2017
SSSZKRDF,Z,UNDP,8390,A16,886,,Programme Assistant,2017
SSSZKRDA,Z,UNDP,15487,A7,4,,Procurement Associate,2018
SSSZKRDA,Z,UNDP,15494,A7,8,,Procurement Associate,2018
SSSZKRPS,KSZZSZOO,UNDP,15489,A14,2,External,Driver to the Head of Office,2018
SSSZKRPS,KSZZSZOO,UNDP,15491,A14,2,External,Driver to the Head of Office,2018
SSSZKRPS,KSZZSZOO,UNDP,15991,A14,13,External,RE-ADVERTISEMENT - "Driver to the Head of Office" - Joint Office of UNDP, UNFPA and UNICEF,2018
SSSZKRPO,Z,UNDP,18722,A10,132,,Team Leader- Inclusive Growth and Innovation,2018
SSSZAAKD,DXXAR,UNDP,55694,A6,6,External,Communication Associate - (Open to Citizens of Turkmenistan),2015
SSSZAADO,Z,UNDP,10710,A10,49,,Programme Specialist, Governance Cluster,2017
SSSZAADO,Z,UNDP,9067,A10,31,,Programme Specialist, Governance,2017
SSSZADRA,Z,UNDP,16198,A10,2,,1095 - UN Coordination Specialist,2010
SSSZRFDF,Z,UNDP,64629,A9,14,,Knowledge Management and Communications Analyst - UNDP Pacific Office (Open to Fijian Nationals Only),2016
SSSZRFDF,XFPFO,UNDP,8130,A9,20,External,Knowledge & Communications Analyst,2017
SSSZRFPA,Z,UNDP,17928,A10,27,,UN Coordination Specialist,2018
SSSZRAOA,RRZDOD,UNDP,54691,A10,112,External,Programme Specialist / Head of Governance,2015
SSSZRAFZ,PFAPFF,UNDP,52746,A16,21,External,Programme Assistant on Environment & Energy,2015
SSSZRAFZ,RSORXK,UNDP,10309,A6,29,Internal,Programme Associate,2017
SSSZRAFZ,RSORXK,UNDP,3762,A16,18,External,Programme Assistant,2016
SSSZRAAF,KFPAXS,UNDP,62752,A9,40,External,Programme Analyst, Democratic Governance / Economy and Environment,2016
SSSZRRDO,Z,UNDP,26680,A9,80,,ICT Analyst,2019
SSSZRRDK,KORXOA,UNDP,44624,A9,38,External,Resource Mobilization Analyst,2014
SSSZRRDR,RDFXSF,UNDP,28212,A6,180,External,Procurement Associate (Zimbabwean Nationals Only),2012
SSSZRRDR,XOKRFX,UNDP,63447,A6,141,External,Procurement Associate (Open to Nationals of Zimbabwe Only),2016
SSSZRDSX,Z,UNDP,55394,A10,41,,Administrateur de Santé, Médecin  de  la Clinique du Système des  Nations Unies au Niger,2015
SSSZRDSK,Z,UNDP,11702,A9,93,,UN Coordination Analyst,2017
SSSZRDSK,Z,UNDP,60843,A9,59,,UN Coordination Analyst - (Open to Syrian Nationals Only),2015
SSSZRPSR,SPFRZX,UNDP,18915,A16,37,External,Human Resources (HR) Assistant (FTA, GS 5),2010
SSSZRPSR,KSZZDZOR,UNDP,22699,A16,26,External,Human Resources Assistant,2019
SSSZRPFA,Z,UNDP,5630,A7,2,,Travel/Transport Associate (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSZDSDS,DKRXOR,UNDP,57463,A16,106,External,Asistente de Programa UNV,2015
SSSZDXRK,KFKDXF,UNDP,19400,A16,23,Internal,ICT Assistant,2010
SSSZDOSK,Z,UNDP,89428,A9,2,,Communications Analyst (Only UNDP Ukraine National Personnel Can Apply),2020
SSSXSPDK,DFPXSR,UNDP,22492,A9,117,External,National Programme Officer (Social Inclusion),2011
SSSXSPPX,Z,UNDP,19617,A6,16,,Programme Associate,2018
SSSXSPPX,KSZZPPFS,UNDP,20369,A6,29,External,Programme Associate,2019
SSSXZSZR,ADDZSK,UNDP,18937,A9,57,Internal,ICT Analyst,2018
SSSXZSFK,PKXOKX,UNDP,31001,A16,5,Internal,IT Assistant,2012
SSSXZSFK,PKXOKX,UNDP,31238,A16,10,Internal,IT Assistant (Re-advertised: Previous candidates need not re-apply),2012
SSSXZSRX,Z,UNDP,27394,A6,94,,Republication - Associé(e) aux Finances (Poste réservé uniquement aux candidats(es) de nationalité Guinéenne),2019
SSSXZSRP,Z,UNDP,12602,A8,9,,Procurement Analyst,2017
SSSXZSRP,Z,UNDP,12839,A8,16,,Procurement Analyst,2017
SSSXZZFS,Z,UNDP,48918,A8,177,,Programme Analyst - Environment and Sustainable Development,2014
SSSXZZAA,Z,UNDP,17940,A16,82,,Procurement Assistant,2018
SSSXZZAA,FAFKPR,UNDP,2906,A16,25,Internal,Procurement Assistant,2015
SSSXZZAA,ODPKOX,UNDP,22653,A16,300,External,Admin/Finance Assistant,2011
SSSXZXZR,FPPKSP,UNDP,35250,A8,50,Internal,ICT Analyst,2013
SSSXZXKF,Z,UNDP,62514,A14,25,,Driver to the Head of Office,2015
SSSXZXRD,Z,UNDP,11105,A6,2,,Programme and Monitoring and Evaluation Associate,2017
SSSXZPRS,Z,UNDP,12609,A15,300,,Strategic Planning Specialist,2010
SSSXXXKF,Z,UNDP,25403,A9,29,,Analyste en Communication,2019
SSSXXXKF,Z,UNDP,65394,A9,137,,Republication - Analyste Communication,2016
SSSXXOAX,OOSKX,UNDP,55276,A9,4,External,Finance Analyst,2015
SSSXXOAX,OOSKX,UNDP,57360,A9,27,External,Finance Analyst (Open to Cambodian nationals only),2015
SSSXORDK,Z,UNDP,51915,A6,63,,Local Security Assistant,2014
SSSXODSA,Z,UNDP,12525,A6,12,,Finance Associate - Internal applicants only,2019
SSSXODSR,KSZZDXOF,UNDP,23142,A16,33,External,PSU Finance Assistant (priority for Kuwaiti Nationals),2019
SSSXODSR,KSZZDXOF,UNDP,26141,A16,46,External,PSU Finance Assistant (priority for Kuwaiti Nationals),2019
SSSXODZK,Z,UNDP,64625,A10,40,,Deputy Team Leader - Inclusive Growth - UNDP Pacific Office (Open to Fijian Nationals Only),2016
SSSXODZK,Z,UNDP,8850,A10,18,,Dep TL Inclusive Growth,2017
SSSXODOF,Z,UNDP,25960,A6,30,,Human Resources Associate,2019
SSSXODOF,FZZKAO,UNDP,24852,A6,51,Internal,Human Resources Associate (Chilean national or foreigner with permanent residence in Chile),2011
SSSXODPR,Z,UNDP,28808,A16,168,,Administrative/Finance Assistant,2012
SSSXOPSS,Z,UNDP,25796,A9,43,,Programme Analyst (Governance for Development),2019
SSSXOPSS,Z,UNDP,47224,A9,25,,Programme Analyst Gender (open to Malaysian nationals only),2014
SSSXOPSS,KSZZSPAZ,UNDP,16785,A9,32,External,Programme Analyst (Governance for Development),2018
SSSXOPXX,Z,UNDP,20243,A10,108,,Roving Operations Manager (Local Position),2010
SSSXOPAX,Z,UNDP,54506,A6,16,,Finance Associate,2015
SSSXKSDF,Z,UNDP,10677,A13,45,,Driver,2017
SSSXKSDP,Z,UNDP,19599,A16,82,,Protocol & Logistics Assistant,2018
SSSXKZPO,Z,UNDP,44834,A16,2,,Assistant(e) des Ressources Humaines  - (Etre de Nationalité Burundaise),2014
SSSXKXZS,Z,UNDP,34605,A10,54,,Programme Specialist (Open to Somali Nationals Only),2013
SSSXKXOA,Z,UNDP,10366,A9,42,,Programme Analyst (Inclusive Development & Growth),2017
SSSXKXOA,Z,UNDP,19231,A9,59,,Programme Analyst (South-South Cooperation for Development),2010
SSSXKXOA,Z,UNDP,20313,A9,26,,Programme Analyst (South-South Cooperation for Development),2010
SSSXKXOA,Z,UNDP,7437,A9,56,,Programme Manager (Inclusive Development and Growth),2016
SSSXKXOA,OFROAZ,UNDP,22269,A9,27,External,Economics Analyst (Economist),2011
SSSXKXPX,Z,UNDP,5564,A10,5,,Finance Specialist (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSXKOSK,Z,UNDP,19593,A10,66,,Human Resources Specialist,2018
SSSXKOOD,KSZZZZZZ,UNDP,22150,A16,100,Internal,Administrative Assistant,2019
SSSXKKKK,Z,UNDP,34202,A10,86,,National Economist (Open to Ugandan Nationals Only) ( Re- Advertised),2012
SSSXKKAZ,Z,UNDP,19686,A16,65,,Finance Assistant,2018
SSSXKFRS,Z,UNDP,42218,A16,374,,Procurement Assistant - Travel and Services (Re-advertized),2013
SSSXKAOS,Z,UNDP,5662,A9,2,,Communications Analyst (Only staff affected by Sudan CO Restructuring are eligible to apply),2016
SSSXKROS,Z,UNDP,26572,A7,12,,Governance Programme Associate,2011
SSSXKROS,Z,UNDP,26745,A7,24,,Governance Programme Associate GS-7,2011
SSSXKDZR,Z,UNDP,62299,A9,1,,Programme Analyst ( For Bhutanese Nationals working in UN system only),2015
SSSXKDZR,Z,UNDP,62303,A9,59,,Programme Analyst ( For Bhutanese Nationals only),2015
SSSXKDAF,Z,UNDP,23730,A6,41,,Recruitment Associate,2011
SSSXKDAA,Z,UNDP,26358,A16,223,,Recruitment Assistant,2011
SSSXKDAA,Z,UNDP,27856,A16,94,,Recruitment Assistant,2012
SSSXKDAA,Z,UNDP,7851,A16,30,,Recruitment Assistant,2017
SSSXKDAA,KSZZSXSA,UNDP,22017,A16,29,Internal,Operations Assistant, Volunteer Recruitment,2019
SSSXKDAR,Z,UNDP,6012,A6,32,,Recruitment Associate,2016
SSSXKDDA,Z,UNDP,13693,A10,77,,Policy Specialist (Gender, SDGs & Inclusive Growth),2017
SSSXKDPZ,Z,UNDP,19596,A6,126,,Procurement Associate (three positions),2018
SSSXKPZF,Z,UNDP,4878,A16,63,,Administrative Assistant,2016
SSSXKPKD,AAFXXO,UNDP,34961,A6,63,Internal,UN Coordination Associate - Open to Kyrgyzstan nationals only,2013
SSSXKPFK,Z,UNDP,27861,A15,13,,Finance Clerk,2019
SSSXKPFK,SKFAKO,UNDP,35777,A15,22,External,Finance Clerk - Open to Kyrgyzstan nationals only,2013
SSSXAXOZ,Z,UNDP,34318,A15,80,,Specialist (Reports and Knowledge Management), Executive Board Secretariat,2012
SSSXAXOX,Z,UNDP,34928,A14,295,,Communications Specialist,2013
SSSXAXOO,Z,UNDP,38308,A14,34,,Digital Production Specialist,2013
SSSXAXOA,Z,UNDP,20532,A15,146,,Headquarters Security Specialist,2010
SSSXAXOA,ORPAO,UNDP,38336,A15,8,Internal,Headquarters Security Specialist,2013
SSSXAXOD,Z,UNDP,51123,A18,9,,Special Representative of the Administrator, Programme of Assistance to the Palestinian People (PAPP),2014
SSSXAXOD,SDFDOP,UNDP,15016,A18,9,External,Special Representative of the Administrator,2010
SSSXAXKP,Z,UNDP,32558,A17,11,,Chief of Staff, Bureau of Management (BoM),2012
SSSXAXFS,Z,UNDP,15494,A6,100,,Administrative Associate (Assets Management)- (Management Project Funded post) Operations Services Section, ASD/OFA,2010
SSSXAXAS,Z,UNDP,25757,A17,9,,Manager, Regional Service Centre,2011
SSSXAXRK,Z,UNDP,16691,A16,58,,Deputy Resident Representative,2010
SSSXAXRF,Z,UNDP,31401,A16,345,,Deputy Country Director- Programme,2012
SSSXAXDR,AOZXZ,UNDP,24379,A13,366,Internal,Administrative Analyst,2011
SSSXAXPX,Z,UNDP,4879,A18,14,,Deputy Asst. Administrator,2016
SSSXAXPO,Z,UNDP,16354,A6,38,,Treasury Associate, Operations Unit, Treasury Division  (Management Project Funded Post),2010
SSSXAXPO,Z,UNDP,20869,A6,91,,Treasury Associate, Treasury Operations Unit,2011
SSSXAXPK,PZADRD,UNDP,16425,A6,59,Internal,Executive  Associate (Deputy Regional Director, RBAP),2010
SSSXAXPF,Z,UNDP,18800,A15,17,,Programme Specialist - Management Support Unit,2010
SSSXAXPF,Z,UNDP,62347,A15,8,,Specialist – Results Based Management, Monitoring and Evaluation,2015
SSSXAXPF,XSOKPP,UNDP,17161,A15,66,Internal,Results Based Management, Monitoring & Evaluation Specialist,2018
SSSXAXPA,PAZXPZ,UNDP,20945,A15,33,Internal,Programme Specialist, RBAP/SEAPD,2011
SSSXAXPD,XSPXOP,UNDP,9210,A6,78,Internal,Operations Associate,2017
SSSXAXPP,PRAZKX,UNDP,15258,A7,10,Internal,Executive Associate, RBAP,2010
SSSXAXPP,OFZKRZ,UNDP,9345,A7,52,Internal,Executive Associate to the Regional Director,2017
SSSXAOSS,ARROR,UNDP,32053,A17,16,Internal,Chief, South & West Asia Division (SAWAD),  RBAP-NY,2012
SSSXAOSS,OFDOSK,UNDP,11705,A17,24,Internal,Chief, Country Office Liaison and Coordination,2017
SSSXAOSA,ORARRP,UNDP,30616,A6,76,External,Executive Associate,2012
SSSXAOSD,Z,UNDP,58081,A16,130,,Ethics Adviser,2015
SSSXAOZS,Z,UNDP,26123,A15,75,,Partnerships Development Specialist (Donor Relations, DRM),2011
SSSXAOZZ,Z,UNDP,19332,A6,9,,Programme Associate, RBAP (MPF),2010
